id,match_id,ipl_year,player_id,player_name,runs_scored,balls_faced,six_count,four_count,maiden_count,runs_given,wickets_taken,dot_ball_count,bowled_lbw_wickets,catches_caught,runouts,stumpings,wides_bowled,no_balls_bowled,wickets,balls_bowled,in_squad,is_out
1082591_8dd02fb5,1082591,2017,8dd02fb5,DA Warner,14,8,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1
1082591_857a100e,1082591,2017,857a100e,TS Mills,6,3,1,0,0,31,1,10,1,0,0,0,1,0,1,24,1,1
1082591_5d98c9eb,1082591,2017,5d98c9eb,S Dhawan,40,31,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1082591_b4e90474,1082591,2017,b4e90474,A Choudhary,6,2,1,0,0,55,1,5,0,0,0,0,3,1,1,24,1,0
1082591_98487609,1082591,2017,98487609,Mandeep Singh,24,16,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1082591_a9dc01e6,1082591,2017,a9dc01e6,MC Henriques,52,37,2,3,0,20,0,1,0,2,0,0,0,1,0,12,1,1
1082591_12d4ed8c,1082591,2017,12d4ed8c,YS Chahal,3,7,0,0,0,22,1,5,0,0,0,0,0,0,1,24,1,1
1082591_01341bbf,1082591,2017,01341bbf,S Aravind,0,2,0,0,0,36,0,2,0,0,0,0,0,0,0,18,1,1
1082591_cd8770b3,1082591,2017,cd8770b3,SR Watson,22,17,1,1,0,41,0,3,0,0,0,0,0,0,0,18,1,1
1082591_f624df35,1082591,2017,f624df35,TM Head,30,22,0,3,0,11,0,0,0,0,0,0,0,0,0,6,1,1
1082591_479b61f5,1082591,2017,479b61f5,STR Binny,11,10,1,0,0,10,1,1,0,0,0,0,0,0,1,6,1,1
1082591_4824af07,1082591,2017,4824af07,Sachin Baby,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
1082591_f0a99c08,1082591,2017,f0a99c08,Yuvraj Singh,62,27,3,7,0,0,0,0,0,2,0,0,0,0,0,0,1,1
1082591_dfae3950,1082591,2017,dfae3950,DJ Hooda,16,12,1,0,0,7,1,4,0,0,0,0,0,0,1,6,1,0
